review_id,student_id,course_id,course_name,topic,card_question,rating,reviewed_atSTU001_BUS220_20260816162336118024,STU001,BUS220,Business Analytics,Forecasting,What does forecasting estimate?,Good,2026-08-16 16:23:36
STU001_BUS220_20260816162342738648,STU001,BUS220,Business Analytics,Forecasting,What software tool supports spreadsheet analysis in forecasting?,Good,2026-08-16 16:23:42
STU001_BUS220_20260816162346865428,STU001,BUS220,Business Analytics,Forecasting,What features does Excel provide for analysis?,Again,2026-08-16 16:23:46
STU001_BUS220_20260816162352847607,STU001,BUS220,Business Analytics,Forecasting,What are KPIs?,Easy,2026-08-16 16:23:52
STU001_BUS220_20260816162357341520,STU001,BUS220,Business Analytics,Forecasting,How does historical data relate to forecasting?,Hard,2026-08-16 16:23:57
STU001_BUS220_20260816162513474325,STU001,BUS220,Business Analytics,Forecasting,What does forecasting estimate?,Good,2026-08-16 16:25:13
STU001_BUS220_20260816162516990789,STU001,BUS220,Business Analytics,Forecasting,What software supports analysis in forecasting?,Hard,2026-08-16 16:25:16
STU001_BUS220_20260816162520438931,STU001,BUS220,Business Analytics,Forecasting,What features of Excel are used for forecasting?,Hard,2026-08-16 16:25:20
STU001_BUS220_20260816162523691047,STU001,BUS220,Business Analytics,Forecasting,What are KPIs?,Hard,2026-08-16 16:25:23
STU001_BUS220_20260816162527233048,STU001,BUS220,Business Analytics,Forecasting,Why is forecasting important in business analytics?,Hard,2026-08-16 16:25:27
STU001_BUS220_20260816162530933110,STU001,BUS220,Business Analytics,Forecasting,How does historical data relate to forecasting?,Good,2026-08-16 16:25:30
STU001_BUS220_20260816162908082368,STU001,BUS220,Business Analytics,Forecasting,What is forecasting?,Hard,2026-08-16 16:29:08
STU001_BUS220_20260816162913678275,STU001,BUS220,Business Analytics,Forecasting,What tool does Excel provide for analysis?,Hard,2026-08-16 16:29:13
STU001_BUS220_20260816162917483251,STU001,BUS220,Business Analytics,Forecasting,What does KPI stand for?,Hard,2026-08-16 16:29:17
STU001_BUS220_20260816162921552097,STU001,BUS220,Business Analytics,Forecasting,How are KPIs used in business?,Good,2026-08-16 16:29:21
STU001_BUS220_20260816162925564526,STU001,BUS220,Business Analytics,Forecasting,What is the purpose of forecasting in business?,Good,2026-08-16 16:29:25
STU001_BUS220_20260816162929859571,STU001,BUS220,Business Analytics,Forecasting,What role do historical patterns play in forecasting?,Good,2026-08-16 16:29:29
STU001_BUS220_20260816163041826931,STU001,BUS220,Business Analytics,Forecasting,What is forecasting?,Hard,2026-08-16 16:30:41
STU001_BUS220_20260816163045223217,STU001,BUS220,Business Analytics,Forecasting,Which tool does Excel offer for analysis?,Hard,2026-08-16 16:30:45
STU001_BUS220_20260816163048502512,STU001,BUS220,Business Analytics,Forecasting,What does KPI stand for?,Hard,2026-08-16 16:30:48
STU001_BUS220_20260816163051991441,STU001,BUS220,Business Analytics,Forecasting,What are KPIs used for?,Hard,2026-08-16 16:30:51
STU001_BUS220_20260816163055210878,STU001,BUS220,Business Analytics,Forecasting,How does forecasting benefit businesses?,Hard,2026-08-16 16:30:55
STU001_BUS220_20260816163058443631,STU001,BUS220,Business Analytics,Forecasting,Can forecasting be done without historical data?,Hard,2026-08-16 16:30:58
